lessonName,lessonTime,lessonClass,lessonTeacher,lessonDay,groupName,podGroup,numerator,id
"л.Вычислительные системы, сети и телекоммуникации",13.35-15.10 ,404,Ивлиев М.Н.,ПОНЕДЕЛЬНИК ,У-206,2,0,6740
л.Математика,15.20-16.55 ,201,Чернышов А.Д.,ПОНЕДЕЛЬНИК ,У-206,2,0,6741
пр.Иностранный язык,17.05-18.40 ,3и,Полозова С.В.,ПОНЕДЕЛЬНИК ,У-206,2,0,6742
пр.Алг. и программир.,08.00-09.35 ,332,Черняева С.Н.,ВТОРНИК     ,У-206,2,1,6743
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-206,2,0,6744
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-206,2,1,6745
пр.Иностранный язык,11.50-13.25 ,а.к.,Мякушкина О.В.,ВТОРНИК     ,У-206,2,0,6746
пр.Иностранный язык,11.50-13.25 ,а.к.,Мякушкина О.В.,ВТОРНИК     ,У-206,2,1,6747
пр.ИСиТ,13.35-15.10 ,339,Толстова И.С., СРЕДА      ,У-206,2,1,6748
пр.ИСиТ,15.20-16.55 ,337,Толстова И.С., СРЕДА      ,У-206,2,0,6749
пр.СУ предприятием (ERP),15.20-16.55 ,343,Гладких Т.В., СРЕДА      ,У-206,2,1,6750
пр.СУ предприятием (ERP),17.05-18.40 ,339,Гладких Т.В., СРЕДА      ,У-206,2,0,6751
"пр.Выч. системы, сети",18.50-20.25 ,337,Зайцева М.А., СРЕДА      ,У-206,2,0,6752
л.Алгоритмизация и программирование,09.45-11.20 ,334,Черняева С.Н.,ЧЕТВЕРГ     ,У-206,2,0,6753
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-206,2,0,6754
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-206,2,1,6755
пр.Основы проектного обучения,13.35-15.10 ,207,Магомедов М.Г.,ЧЕТВЕРГ     ,У-206,2,0,6756
пр.Математика,13.35-15.10 ,207,Андреев Д.Г.,ЧЕТВЕРГ     ,У-206,2,1,6757
пр.Философия,15.20-16.55 ,8,Черниговских И.В.,ЧЕТВЕРГ     ,У-206,2,0,6758
пр.Философия,15.20-16.55 ,8,Черниговских И.В.,ЧЕТВЕРГ     ,У-206,2,1,6759
пр.Мод. инф. и тех. проц.,08.00-09.35 ,332,Хромых Е.А.,ПЯТНИЦА     ,У-206,2,1,6760
л.Моделирование информационных и технологических процессов,09.45-11.20 ,334,Даценко Н.В.,ПЯТНИЦА     ,У-206,2,0,6761
л.Основы проектного обучения,09.45-11.20 ,37,Лыгина Л.В.,ПЯТНИЦА     ,У-206,2,1,6762
пр.Иностранный язык,11.50-13.25 ,14,Полозова С.В.,ПЯТНИЦА     ,У-206,2,0,6763
пр.Иностранный язык,11.50-13.25 ,14,Полозова С.В.,ПЯТНИЦА     ,У-206,2,1,6764
пр.Иностранный язык,13.35-15.10 ,19и,Полозова С.В.,ПЯТНИЦА     ,У-206,2,1,6765
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",08.00-09.35 ,-,-,ПОНЕДЕЛЬНИК ,У-208,1,0,6766
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",08.00-09.35 ,-,-,ПОНЕДЕЛЬНИК ,У-208,1,1,6767
л.Инф. и математическое обесп.,09.45-11.20 ,13,Коробова Л.А.,ПОНЕДЕЛЬНИК ,У-208,1,0,6768
л.Философия,09.45-11.20 ,452,Черниговских И.В.,ПОНЕДЕЛЬНИК ,У-208,1,1,6769
лаб.Основы логистики,11.50-13.25 ,5-25,Соколов А.В.,ПОНЕДЕЛЬНИК ,У-208,1,0,6770
л.Основы логистики,11.50-13.25 ,5-27,Соколов А.В.,ПОНЕДЕЛЬНИК ,У-208,1,1,6771
лаб.Основы логистики,13.35-15.10 ,5-25,Соколов А.В.,ПОНЕДЕЛЬНИК ,У-208,1,0,6772
л.Теоретическая механика,09.45-11.20 ,125,Егоров В.Г.,ВТОРНИК     ,У-208,1,0,6773
л.Теоретическая механика,09.45-11.20 ,125,Егоров В.Г.,ВТОРНИК     ,У-208,1,1,6774
пр.Теоретическая механика,11.50-13.25 ,227,Егоров В.Г.,ВТОРНИК     ,У-208,1,0,6775
пр.Теоретическая механика,11.50-13.25 ,227,Егоров В.Г.,ВТОРНИК     ,У-208,1,1,6776
пр.Иностранный язык,13.35-15.10 ,21,Полозова С.В.,ВТОРНИК     ,У-208,1,1,6777
пр.Иностранный язык,15.20-16.55 ,21,Полозова С.В.,ВТОРНИК     ,У-208,1,1,6778
пр.Инф. и математическое обеспечение,09.45-11.20 ,332,Толстова И.С., СРЕДА      ,У-208,1,1,6779
лаб.Экология,11.50-13.25 ,6-32,Дочкина Ю.Н., СРЕДА      ,У-208,1,0,6780
лаб.Комп. технологии в проектировании,11.50-13.25 ,5-29,Назина Л.И., СРЕДА      ,У-208,1,1,6781
лаб.Экология,13.35-15.10 ,6-32,Дочкина Ю.Н., СРЕДА      ,У-208,1,0,6782
лаб.Комп. технологии в проектировании,13.35-15.10 ,5-29,Назина Л.И., СРЕДА      ,У-208,1,1,6783
лаб.Комп. технологии в проектировании,15.20-16.55 ,5-29,Назина Л.И., СРЕДА      ,У-208,1,1,6784
пр.Иностранный язык,11.50-13.25 ,1и,Полозова С.В.,ЧЕТВЕРГ     ,У-208,1,0,6785
пр.Иностранный язык,11.50-13.25 ,1и,Полозова С.В.,ЧЕТВЕРГ     ,У-208,1,1,6786
пр.Философия,13.35-15.10 ,13,Черниговских И.В.,ЧЕТВЕРГ     ,У-208,1,0,6787
пр.Философия,13.35-15.10 ,13,Черниговских И.В.,ЧЕТВЕРГ     ,У-208,1,1,6788
пр.Физика,11.50-13.25 ,41,Сыноров Ю.В.,ПЯТНИЦА     ,У-208,1,0,6789
пр.Физика,11.50-13.25 ,41,Сыноров Ю.В.,ПЯТНИЦА     ,У-208,1,1,6790
л.Физика,13.35-15.10 ,53,Татохин Е.А.,ПЯТНИЦА     ,У-208,1,0,6791
л.Физика,13.35-15.10 ,53,Татохин Е.А.,ПЯТНИЦА     ,У-208,1,1,6792
л.Экология,15.20-16.55 ,37,Студеникина Л.Н.,ПЯТНИЦА     ,У-208,1,1,6793
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",08.00-09.35 ,-,-,ПОНЕДЕЛЬНИК ,У-209,1,0,6794
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",08.00-09.35 ,-,-,ПОНЕДЕЛЬНИК ,У-209,1,1,6795
л.Метрология и стандартизация,09.45-11.20 ,404,Сухарев И.Н.,ПОНЕДЕЛЬНИК ,У-209,1,0,6796
л.Философия,09.45-11.20 ,452,Черниговских И.В.,ПОНЕДЕЛЬНИК ,У-209,1,1,6797
пр.Иностранный язык,11.50-13.25 ,12и,Рыжкова Н.И.,ПОНЕДЕЛЬНИК ,У-209,1,0,6798
пр.Иностранный язык,11.50-13.25 ,12и,Рыжкова Н.И.,ПОНЕДЕЛЬНИК ,У-209,1,1,6799
лаб.Метрология и стандартизация,13.35-15.10 ,5-27,Сухарев И.Н.,ПОНЕДЕЛЬНИК ,У-209,1,0,6800
л.Теоретическая механика,09.45-11.20 ,125,Егоров В.Г.,ВТОРНИК     ,У-209,1,0,6801
л.Теоретическая механика,09.45-11.20 ,125,Егоров В.Г.,ВТОРНИК     ,У-209,1,1,6802
л.Органическая и биологическая химия,11.50-13.25 ,418,Яковлева С.Ф.,ВТОРНИК     ,У-209,1,0,6803
лаб.Микробиология и зоология,11.50-13.25 ,414,Свиридова Т.В.,ВТОРНИК     ,У-209,1,1,6804
лаб.Органическая и биологическая химия,13.35-15.10 ,432,Яковлева С.Ф.,ВТОРНИК     ,У-209,1,0,6805
лаб.Микробиология и зоология,13.35-15.10 ,429,Свиридова Т.В.,ВТОРНИК     ,У-209,1,1,6806
пр.Иностранный язык,09.45-11.20 ,12и,Рыжкова Н.И., СРЕДА      ,У-209,1,0,6807
пр.Иностранный язык,09.45-11.20 ,12и,Рыжкова Н.И., СРЕДА      ,У-209,1,1,6808
пр.Теоретическая механика,11.50-13.25 ,227,Литвинов Е.В., СРЕДА      ,У-209,1,0,6809
пр.Теоретическая механика,11.50-13.25 ,227,Литвинов Е.В., СРЕДА      ,У-209,1,1,6810
пр.Основы проектного обучения,13.35-15.10 ,44,Лыгина Л.В., СРЕДА      ,У-209,1,0,6811
л.Микробиология и зоология,13.35-15.10 ,405,Свиридова Т.В., СРЕДА      ,У-209,1,1,6812
пр.Философия,15.20-16.55 ,410,Черниговских И.В., СРЕДА      ,У-209,1,0,6813
пр.Философия,15.20-16.55 ,410,Черниговских И.В., СРЕДА      ,У-209,1,1,6814
л.Основы проектного обучения,09.45-11.20 ,37,Лыгина Л.В.,ПЯТНИЦА     ,У-209,1,1,6815
пр.Физика,11.50-13.25 ,41,Сыноров Ю.В.,ПЯТНИЦА     ,У-209,1,0,6816
